tipo,codigo,descripcion
Señales servicios generales y especiales,si-18 ,restaurante       
Señales servicios generales y especiales,si-19,telefono 
Señales servicios generales y especiales,si-20 ,iglesia  
Señales servicios generales y especiales,si-21 ,taller    
Señales servicios generales y especiales,si-22,estacion de servicio 
Señales servicios generales y especiales,si-23,montallantas 
Señal informativas de servicios generales ,si-25 ,discapacitados    
Señal informativas de servicios generales ,si-25a ,cruce de personas con discapacidad visual 
Señal informativas de servicios generales ,si-27 ,seguridad vial 
Señal informativas de servicios generales ,si-29 ,transporte ferroviario     
Señal informativas de servicios generales ,si-30 ,transporte masivo 
Señal informativas de servicios generales ,si-31 ,zona recreativa
Señal informativas de servicios generales ,si-32 ,tsunami ruta de evacuacion
Señal informativas de servicios generales ,si-33 ,riesgo por tsunami 
Señal informativas de servicios generales ,si-34 ,punto de encuentro por tsunami 
Señal Turistica,st-01 ,zona de camping 
Señal Turistica,st-02 ,playa 
Señal Turistica,st-03 ,museo    
Señal Turistica,st-04 ,muelle
Señal Turistica,st-05 ,zoologico
Señal Turistica,st-06 ,punto de informacion turistica 
Señal Turistica,st-07 ,artesanias 
Señal Turistica,st-08 ,bienes arqueologicos 
Señal Turistica,st-09 ,lago 
Señal Turistica,st-10 ,polideportivo 
Señal Turistica,st-11,mirador 
Señal Turistica,st-12,alquiler de autos 
Señal Turistica,st-13 ,atractivo natural 
Señal Turistica,st-14 ,volcan 
Señal Turistica,st-15,nevado 
Señal Turistica,st-16,termal
Señal Turistica,st-17 ,cascada 
Señal Turistica,st-18 ,pesca 
Señal Turistica,st-19 ,arrecife coralino  
Señal Turistica,st-20 ,caverna 
Señal Turistica,st-21 ,paramo      
Señal Turistica,st-22 ,rio   
Señal Turistica,st-23 ,parque nacional natural 
Señal Turistica,st-24 ,observatorio de flora y fauna 
Señal Turistica,st-25 ,sendero para excursionistas 
Señal Turistica,st-26 ,parapente 
Señal Turistica,st-27 ,escalada 
Señal Turistica,st-28,rafting 
Señal Turistica,st-29,comunidad 
Señal Turistica,st-30 ,monumento nacional 
Señalizacion de tuneles ,sit-01 ,salida de emergencia a la izquierda 
Señalizacion de tuneles ,sit-02 ,salida de emergencia a la derecha 
Señalizacion de tuneles ,sit-03 ,ruta de escape a salida de emergencia a la izquierda
Señalizacion de tuneles ,sit-04 ,ruta de escape a salida de emergencia a la derecha
Señalizacion de tuneles ,sit-05 ,telefono de emergencia  
Señalizacion de tuneles ,sit-06 ,extintor de incendios    
Señalizacion de tuneles ,sit-07,hidrante y manguera para apagar incendios 
Señalizacion de tuneles ,sit-08 ,bahia de estacionamiento para emergencias 
Señalizacion de tuneles ,sit-09 ,sistema de radio dedicado   
Señalizacion de seguridad y medidas para obras en la via,spo-01 ,trbajos en la via   
Señalizacion de seguridad y medidas para obras en la via,spo-02 ,maquinaria en la via    
Señalizacion de seguridad y medidas para obras en la via,spo-03 ,auxiliar de transito     
Señalizacion de seguridad y medidas para obras en la via,spo-04  ,angostamiento a ambos lados   
Señalizacion de seguridad y medidas para obras en la via,spo-05 ,angostamiento a la derecha    
Señalizacion de seguridad y medidas para obras en la via,spo-06  ,angostamiento a la izquierda  
Señalizacion de seguridad y medidas para obras en la via,sio-03 ,fin de obra    
Señalizacion de seguridad y medidas para obras en la via,sio-05 ,desvio a xxx m   
Señalizacion de seguridad y medidas para obras en la via,sio-07 ,desvio    
Señalizacion de seguridad y medidas para obras en la via,sio-08 ,fin desvio    
Señalizacion de seguridad y medidas para obras en la via,sio- 09 ,9 fin carril derecho 
Señalizacion de seguridad y medidas para obras en la via,sio-10 ,fin carril derecho     
Señalizacion de seguridad y medidas para obras en la via,sio-11,fin carril izquierdo   
Señalizacion de seguridad y medidas para obras en la via,sio-12 ,fin carril izquierdo   
Señalizacion de seguridad y medidas para obras en la via,sio-13 ,generacion carril derecho 
Señalizacion de seguridad y medidas para obras en la via,sio-14 ,generacion carril izquierdo  
Señalizacion de seguridad y medidas para obras en la via,sio-15,generacion carril izquierdo
Señalizacion de seguridad y medidas para obras en la via,sio-16 ,generacion carril izquierdo
Señalizacion de seguridad y medidas para obras en la via,sio-17 ,cambio de alineamiento lado derecho 
Señalizacion de seguridad y medidas para obras en la via,sio-18,cambio de alineamiento lado derecho 
Señalizacion de seguridad y medidas para obras en la via,sio-19 ,cambio de alineamiento lado izquierdo  
Señalizacion de seguridad y medidas para obras en la via,sio-20,cambio de alineamiento lado izquierdo  
Señalizacion de seguridad y medidas para obras en la via,sio-21 ,cambio de alineamiento calzada bidireccional  
Señalizacion de seguridad y medidas para obras en la via,sio-22 ,cambio de alineamiento calzada bidireccional 
Señalizacion de seguridad y medidas para obras en la via,sio-23 ,paradero de buses    
Señalizacion de seguridad y medidas para obras en la via,sio-24,peatones 
Señalizacion de seguridad y medidas para obras en la via,sio-25 ,semaforo apagado 
Señalizacion de seguridad y medidas para obras en la via,sio-26 ,cruce peatonal   
Señalizacion de seguridad y medidas para obras en la via,sro-01 ,fin vía cerrada     
Señalizacion de seguridad y medidas para obras en la via,sro-03 ,uno a uno     
Señalizacion de seguridad y medidas para obras en la via,sro-04 ,pare/siga
Señalizacion de calles y carreteras afectadas por eventos especiales,pee-01 ,accidente 
Señalizacion de calles y carreteras afectadas por eventos especiales,pee-02 ,bomberos       
Señalizacion de calles y carreteras afectadas por eventos especiales,pee-03 ,desastre natural  
Señalizacion de calles y carreteras afectadas por eventos especiales,pee-04 ,control de policia 
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-1,islas peatonales  
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-2,paso cebra en tramo de vía  
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-4,especificaciones de la baliza iluminada elevada     
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-6,señal informativa para peatones        
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-7.1 ,paso peatonal regulado por semáforo en tramo de vía pare 
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-7.2,paso peatonal regulado por semáforo en tramo de vía avance 
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-8,puente peatonal         
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-9 ,ubicación de pasos cebra en relación a paradas y zonas de estacionamiento
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-10 ,pasos peatonales     
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-11 ,pasos peatonales no regulados por semáforos       
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-12 ,paso peatonal regulado por semáforo en vía secundaria  
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-13 ,paso peatonal regulado por semáforo en vía prioritaria
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-14 ,ubicación de pasos peatonales respecto de glorietas y miniglorietas   
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-15 ,paso peatonal regulado por semáforo con isla peatonal     
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.1-16 ,ejemplos de vallas peatonales        
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-3 ,línea de eje central continua     
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-4 ,líneas de eje central segmentado        
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-5 ,ubicación de bolardos          
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-6 ,otras líneas longitudinales         
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-7,líneas longitudinales segmentadas         
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-8 ,cruce controlado por señal ceda el paso 
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-9 ,cruce controlado por señal pare
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-10 ,demarcación para intersección de vías con semáforos 
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-11,demarcación para intersección de ciclovías y vías con semáforos  
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-12 ,símbolo para demarcación en ciclorruta   
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-16 ,leyenda para ciclovía        
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-17 ,demarcaciones de divergencias y convergencias para ciclovía      
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-18-1 ,cabezales de semáforos para ciclistas para avanzar      
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.2-18-2 ,cabezales de semáforos para ciclistas para parar      
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.3-1 ,motovia inclusiva         
"Capitulo 6 Dispositivos para peatones, ciclistas y motociclistas",dpcm-6.3-2 ,motovia exclusiva         
Capitulo 9  Señalizacion para carriles exclusivos de bus ,ceb-9-1 ,calzada doble carril para buses    
Capitulo 9  Señalizacion para carriles exclusivos de bus ,ceb-9-2,demarcaciones de carriles exclusivos de buses   
Capitulo 9  Señalizacion para carriles exclusivos de bus ,ceb-9-3-4.1,lente de semáforo de buses pare      
Capitulo 9  Señalizacion para carriles exclusivos de bus ,ceb-9-3-4.2 ,lente de semáforo de buses preparado para avanzar 
Capitulo 9  Señalizacion para carriles exclusivos de bus ,ceb-9-3-4.3 ,lente de semáforo de buses avanzar   
Capitulo 3 Demarcaciones en el piso,dmc-3-3 ,lineas longitudinales     
Capitulo 3 Demarcaciones en el piso,dmc-3-5 ,lineas centrales segmentadas caso 1        
Capitulo 3 Demarcaciones en el piso,dmc-3-7,lineas centrales continuas caso 1             
Capitulo 3 Demarcaciones en el piso,dmc-3-9 ,lineas centrales continuas caso 1 
Capitulo 3 Demarcaciones en el piso,dmc-3-11,lineas centrales continuas caso 5            
Capitulo 3 Demarcaciones en el piso,dmc-3-13 ,lineas de carril segmentada caso 1 
Capitulo 3 Demarcaciones en el piso,dmc-3-14 ,lineas de carril segmentada caso 2 
Capitulo 3 Demarcaciones en el piso,dmc-3-15,lineas de carril segmentada caso 3
Capitulo 3 Demarcaciones en el piso,dmc-3-16,lineas de carril segmentada caso 4
Capitulo 3 Demarcaciones en el piso,dmc-3-17 ,demarcaciones de continuidad de carries en interseccion 
Capitulo 3 Demarcaciones en el piso,dmc-3-18 ,zona de no adelantar curva vertical 
